"dept_name","gender","emp_no","from_date","to_date","calendar_year","salary","active"
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",86797,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",100604,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",101843,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",89204,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",113407,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",99647,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",103014,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",92165,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",101592,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",97286,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",82871,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1990",109485,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",100604,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",97286,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",92165,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",99647,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",89204,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",86797,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",113407,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",103014,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",82871,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",101843,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",101592,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1991",109485,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",113407,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",101843,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",97286,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",92165,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",86797,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",82871,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",89204,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",99647,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",100604,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",109485,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",101592,0
"Marketing","M",110022,"1995-12-30","1998-12-29","1992",103014,0
